RecordNo,Study,Region,Treat,TreatDetail,yearabs,yearnum,per_ha_dead,,,
1,Amman88,WY,control,AM88_control,1979,1,6.253089471,,,
2,Amman88,WY,control,AM88_control,1980,2,14.26099852,,,
3,Amman88,WY,control,AM88_control,1981,3,10.45477014,,,
4,Amman88,WY,control,AM88_control,1982,4,9.243697479,,,
5,Amman88,WY,control,AM88_control,1983,5,8.032624815,,,
6,Amman88,WY,control,AM88_control,1984,6,6.796836382,,,
7,Amman88,WY,control,AM88_control,1985,7,23.47998023,,,
8,Hamel78,MT,control,heb_ctl,1975,1,7,,,
9,Hamel78,MT,control,heb_ctl,1976,2,20.2,,,
10,Hamel78,MT,control,heb_ctl,1977,3,67,,,
11,Hamel78,MT,control,gal_ctl,1975,1,100.2,,,
12,Hamel78,MT,control,gal_ctl,1976,2,51.7,,,
13,Hamel78,MT,control,gal_ctl,1977,3,9.7,,,
14,McGregor87,MT,control,B10_ctl,1980,1,595.3,,,
15,McGregor87,MT,control,B10_ctl,1981,2,22.7,,,
16,McGregor87,MT,control,B10_ctl,1982,3,122.1,,,
17,McGregor87,MT,control,B10_ctl,1983,4,31.1,,,
18,McGregor87,MT,control,B10_ctl,1984,5,0,,,
19,McGregor87,MT,control,B11_ctl,1980,1,292.3,,,
20,McGregor87,MT,control,B11_ctl,1981,2,283.4,,,
21,McGregor87,MT,control,B11_ctl,1982,3,229.3,,,
22,McGregor87,MT,control,B11_ctl,1983,4,113.2,,,
23,McGregor87,MT,control,B11_ctl,1984,5,0,,,
24,McGregor87,MT,control,W4_ctl,1980,1,60,,,
25,McGregor87,MT,control,W4_ctl,1981,2,15.1,,,
26,McGregor87,MT,control,W4_ctl,1982,3,0,,,
27,McGregor87,MT,control,W4_ctl,1983,4,,,,
28,McGregor87,MT,control,W4_ctl,1984,5,,,,
29,McGregor87,MT,control,Lo7A_ctl,1980,1,0,,,
30,McGregor87,MT,control,Lo7A_ctl,1981,2,18.8,,,
31,McGregor87,MT,control,Lo7A_ctl,1982,3,345.7,,,
32,McGregor87,MT,control,Lo7A_ctl,1983,4,0,,,
33,McGregor87,MT,control,Lo7A_ctl,1984,5,0,,,
34,McGregor87,MT,control,Lo18_ctl,1980,1,52.4,,,
35,McGregor87,MT,control,Lo18_ctl,1981,2,146,,,
36,McGregor87,MT,control,Lo18_ctl,1982,3,162.6,,,
37,McGregor87,MT,control,Lo18_ctl,1983,4,61.8,,,
38,McGregor87,MT,control,Lo18_ctl,1984,5,0,,,
39,Schmid07,SD,control,bear_ctl,1998,1,10.00638407,,,
40,Schmid07,SD,control,bear_ctl,1999,2,14.0089377,,,
41,Schmid07,SD,control,bear_ctl,2000,3,30.01915222,,,
42,Schmid07,SD,control,bear_ctl,2001,4,30.01915222,,,
43,Schmid07,SD,control,bear_ctl,2002,5,8.005107258,,,
44,Schmid07,SD,control,bear_ctl,2003,6,430.2745151,,,
